Country,Region
Afghanistan,Central and West Asia
Armenia,Central and West Asia
Azerbaijan,Central and West Asia
Georgia,Central and West Asia
Kazakhstan,Central and West Asia
Kyrgyz Republic,Central and West Asia
Pakistan,Central and West Asia
Tajikistan,Central and West Asia
Turkmenistan,Central and West Asia
Uzbekistan,Central and West Asia
Mongolia,East Asia
People's Republic of China,East Asia
Bangladesh,South Asia
Bhutan,South Asia
India,South Asia
Maldives,South Asia
Nepal,South Asia
Sri Lanka,South Asia
Cambodia,South East Asia
Indonesia,South East Asia
Lao People's Democratic Republic,South East Asia
Myanmar,South East Asia
Philippines,South East Asia
Thailand,South East Asia
Timor-Leste,South East Asia
Viet Nam,South East Asia
Cook Islands,The Pacific
Federated States of Micronesia,The Pacific
Fiji,The Pacific
Kiribati,The Pacific
Marshall Islands,The Pacific
Nauru,The Pacific
Niue,The Pacific
Palau,The Pacific
Papua New Guinea,The Pacific
Samoa,The Pacific
Solomon Islands,The Pacific
Tonga,The Pacific
Tuvalu,The Pacific
Vanuatu,The Pacific
