Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL
8-Feb-2019,47037-005,Green Power Development and Energy Efficiency Improvement Investment Program - Tranche 2,SRI,Sri Lanka,South Asia,SARD,SAEN,Sovereign,260.000,MFF-Tranche (Loan),Loan,8313,Cofinancing (Syndicated/Contractual),Agence Française de Développement,30.000,Energy,Energy,Dual-use,Medium,2.000,6.000,Investment,USD,https://www.adb.org/projects/47037-005/main
8-Mar-2019,42265-025,Assam Urban Infrastructure Investment Program - Tranche 2,IND,India,South Asia,SARD,SAUW,Sovereign,213.000,MFF-Tranche (Loan),Loan,3624,ADB funds,OCR,26.040,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,High,26.040,,Investment,USD,https://www.adb.org/projects/42265-025/main
5-Jan-2019,48098-002,Balochistan Water Resources Development Sector Project,PAK,Pakistan,Central and West Asia,CWRD,CWER,Sovereign,136.140,Project loan,Loan,3700,ADB funds,Concessional OCR,100.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,2.530,,Investment,USD,https://www.adb.org/projects/48098-002/main
5-Jan-2019,48098-002,Balochistan Water Resources Development Sector Project,PAK,Pakistan,Central and West Asia,CWRD,CWER,Sovereign,,Project loan,Grant,9197,Cofinancing (Syndicated/Contractual),Japan Fund for Poverty Reduction,3.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,,Investment,USD,https://www.adb.org/projects/48098-002/main
5-Jan-2019,48098-002,Balochistan Water Resources Development Sector Project,PAK,Pakistan,Central and West Asia,CWRD,CWER,Sovereign,,Project loan,Grant,597,Cofinancing (Syndicated/Contractual),High Level Technology Fund,2.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,,Investment,USD,https://www.adb.org/projects/48098-002/main
26-Feb-2019,47360-003,Khyber Pakhtunkhwa Provincial Roads Improvement Project (Additional Financing),PAK,Pakistan,Central and West Asia,CWRD,CWTC,Sovereign,85.000,Project loan,Loan,3756,ADB funds,OCR,75.000,Transport,Transport,Adaptation,Low,3.490,,Investment,USD,https://www.adb.org/projects/47360-003/main
4-May-2019,51041-002,Horticulture Value Chain Infrastructure Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,244.750,Project loan,Loan,3737,ADB funds,Concessional OCR,197.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,20.000,30.000,Investment,USD,https://www.adb.org/projects/51041-002/main
29-May-2019,51189-001,Sichuan Ziyang Inclusive Green Development Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,413.540,Project loan,Loan,3766,ADB funds,OCR,200.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,0.250,2.810,Investment,USD,https://www.adb.org/projects/51189-001/main
30-Apr-2019,51116-002,Yangtze River Green Ecological Corridor Comprehensive Agriculture Development Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,506.800,Project loan,Loan,3740,ADB funds,OCR,300.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,118.000,38.000,Investment,USD,https://www.adb.org/projects/51116-002/main
20-May-2019,51418-001,Air Quality Improvement in the Greater Beijing-Tianjin-Hebei Region—Shandong Clean Heating and Cooling Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,711.510,Project loan,Loan,3765,ADB funds,OCR,392.035,Energy,Energy,Mitigation,High,,360.000,Investment,USD,https://www.adb.org/projects/51418-001/main
3-Apr-2019,49169-002,Ulaanbaatar Green Affordable Housing and Resilient Urban Renewal Sector Project,MON,Mongolia,East Asia,EARD,EASS,Sovereign,570.100,Sector loan,Loan,8348,Cofinancing (Syndicated/Contractual),Green Climate Fund,95.000,Water and other urban infrastructure and services,Energy,Dual-use,Medium,0.700,18.600,Investment,USD,https://www.adb.org/projects/49169-002/main
3-Apr-2019,49169-002,Ulaanbaatar Green Affordable Housing and Resilient Urban Renewal Sector Project,MON,Mongolia,East Asia,EARD,EASS,Sovereign,,Sector loan,Loan,8348,Cofinancing (Syndicated/Contractual),Green Climate Fund,,Water and other urban infrastructure and services,Finance,Dual-use,Medium,75.700,,Investment,USD,https://www.adb.org/projects/49169-002/main
31-May-2019,49309-002,Hubei Yichang Comprehensive Elderly Care Demonstration Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,305.050,Project loan,Loan,3767,ADB funds,OCR,150.000,Health,Health,Dual-use,Medium,1.470,0.980,Investment,USD,https://www.adb.org/projects/49309-002/main
15-Apr-2019,49310-002,Yunnan Lincang Border Economic Cooperation Zone Development Project,PRC,People's Republic of China,East Asia,EARD,EASS,Sovereign,402.800,Project loan,Loan,3759,ADB funds,OCR,250.000,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,20.150,14.360,Investment,USD,https://www.adb.org/projects/49310-002/main
13-Jan-2019,47243-004,Rural Connectivity Improvement Project,BAN,Bangladesh,South Asia,SARD,SAER,Sovereign,286.310,Project loan,Loan,3732,ADB funds,Concessional OCR,100.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,,,Investment,USD,https://www.adb.org/projects/47243-004/main
13-Jan-2019,47243-004,Rural Connectivity Improvement Project,BAN,Bangladesh,South Asia,SARD,SAER,Sovereign,,Project loan,Loan,3731,ADB funds,OCR,100.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,17.550,,Investment,USD,https://www.adb.org/projects/47243-004/main
