Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Other Sector(s) Covered,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL,,,,,,,,,,,,,,
25-Sep-20,40173-044,Highlands Region Road Improvement Investment Program- Tranche 3,PNG,Papua New Guinea,Pacific,PARD,PATE,Sovereign,,MFF-Tranche (Loan),Grant,0485,Cofinancing (Syndicated/Contractual),European Union,1.11,Transport,Transport,,Adaptation,Medium,,,Investment,USD,https://www.adb.org/projects/40173-044/main,,,,,,,,,,,,,,
25-Feb-20,48096-002,Arghandab Integrated Water Resources Development Project,AFG,Afghanistan,Central and West Asia,CWRD,CWER,Sovereign,,Grant projects,Grant,0656,Cofinancing (Syndicated/Contractual),International Fund for Agricultural Development,40,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",,Adaptation,High,18.13,,Investment,USD,https://www.adb.org/projects/48096-002/main,,,,,,,,,,,,,,
17-Sep-20,52286-001,Central Asia Regional Economic Cooperation Corridors 1 and 6 Connector Road (Aktobe–Kandyagash) Reconstruction Project,KAZ,Kazakhstan,Central and West Asia,CWRD,CWTC,Sovereign,229.35,Project loan,Loan,3829,ADB funds,OCR,149.971549,Transport,Transport,,Adaptation,Medium,11.6,,Investment,USD,https://www.adb.org/projects/52286-001/main,,,,,,,,,,,,,,
19-Jun-20,47279-002,Karachi Bus Rapid Transit Red Line Project,PAK,Pakistan,Central and West Asia,CWRD,CWUW,Sovereign,572,Project loan,Loan,3799,ADB funds,OCR,235,Transport,Transport,Energy,Dual-use,High,5,230,Investment,USD,https://www.adb.org/projects/47279-002/main,,,,,,,,,,,,,,
19-Jun-20,47279-002,Karachi Bus Rapid Transit Red Line Project,PAK,Pakistan,Central and West Asia,CWRD,CWUW,Sovereign,,Project loan,Loan,8366,Cofinancing (Syndicated/Contractual),Agence Française de Développement,71.8,Transport,Transport,Energy,Dual-use,High,2.8,69,Investment,USD,https://www.adb.org/projects/47279-002/main,,,,,,,,,,,,,,
19-Jun-20,47279-002,Karachi Bus Rapid Transit Red Line Project,PAK,Pakistan,Central and West Asia,CWRD,CWUW,Sovereign,,Project loan,Loan,8367,Cofinancing (Syndicated/Contractual),Green Climate Fund,37.2,Transport,Transport,Energy,Dual-use,High,,27,Investment,USD,https://www.adb.org/projects/47279-002/main,,,,,,,,,,,,,,
19-Jun-20,47279-002,Karachi Bus Rapid Transit Red Line Project,PAK,Pakistan,Central and West Asia,CWRD,CWUW,Sovereign,,Project loan,Loan,8367,Cofinancing (Syndicated/Contractual),Green Climate Fund,,Transport,Energy,Transport,Dual-use,High,,10.2,Investment,USD,https://www.adb.org/projects/47279-002/main,,,,,,,,,,,,,,
10-Nov-20,47279-002,Karachi Bus Rapid Transit Red Line Project,PAK,Pakistan,Central and West Asia,CWRD,CWUW,Sovereign,,Project loan,Loan,8368,Cofinancing (Syndicated/Contractual),Asian Infrastructure Investment Bank,71.8,Transport,Transport,Energy,Dual-use,High,2.8,69,Investment,USD,https://www.adb.org/projects/47279-002/main,,,,,,,,,,,,,,
19-Jun-20,47279-002,Karachi Bus Rapid Transit Red Line Project,PAK,Pakistan,Central and West Asia,CWRD,CWUW,Sovereign,,Project loan,Grant,0649,Cofinancing (Syndicated/Contractual),Green Climate Fund,11.8,Transport,Transport,Energy,Dual-use,High,7,4.8,Investment,USD,https://www.adb.org/projects/47279-002/main,,,,,,,,,,,,,,
19-Jun-20,51126-002,Sindh Secondary Education Improvement Project,PAK,Pakistan,Central and West Asia,CWRD,CWSS,Sovereign,82.5,Project loan,Loan,3845,ADB funds,Concessional OCR,75,Education,Education,,Mitigation,Low,,0.35,Investment,USD,https://www.adb.org/projects/51126-002/main,,,,,,,,,,,,,,
