Country,Funding Source,Project Count (Pre-Paris Agreement),Project Count (Post-Paris Agreement),Project Count (Total),Climate Change Project Count (Pre-Paris Agreement),Climate Change Project Count (Post-Paris Agreement),Climate Change Project Count (Total),Climate Change Project Count Proportion (Pre-Paris Agreement),Climate Change Project Count Proportion (Post-Paris Agreement),Climate Change Project Count Proportion (Total),Cumulative Project Funding (Pre-Paris Agreement),Cumulative Project Funding (Post-Paris Agreement),Cumulative Project Funding (Total),Climate Change Project Funding (Pre-Paris Agreement),Climate Change Project Funding (Post-Paris Agreement),Climate Change Project Funding (Total),Climate Change Project Funding Proportion (Pre-Paris Agreement),Climate Change Project Funding Proportion (Post-Paris Agreement),Climate Change Project Funding Proportion (Total),2020 GDP Per Capita,2020 Gain Index
Afghanistan,ADB,20,23,43,10,14,24,0.50,0.61,0.56,934900000,397840600,1332740600,462955000,202990600,665945600,0.50,0.51,0.50,516.87,33.00
Afghanistan,World Bank,29,50,79,1,26,27,0.03,0.52,0.34,3818094596,7119251725,10937346321,717230500,4071950000,4789180500,0.19,0.57,0.44,516.87,33.00
Afghanistan,Total,49,73,122,11,40,51,0.22,0.55,0.42,4752994596,7517092325,12270086921,1180185500,4274940600,5455126100,0.25,0.57,0.44,516.87,33.00
Armenia,ADB,16,20,36,7,10,17,0.44,0.50,0.47,346250000,279035000,625285000,164335000,223750000,388085000,0.47,0.80,0.62,4505.87,55.59
Armenia,World Bank,29,17,46,7,8,15,0.24,0.47,0.33,901614700,293048090,1194662790,175410000,214390000,389800000,0.19,0.73,0.33,4505.87,55.59
Armenia,Total,45,37,82,14,18,32,0.31,0.49,0.39,1247864700,572083090,1819947790,339745000,438140000,777885000,0.27,0.77,0.43,4505.87,55.59
Azerbaijan,ADB,17,11,28,7,3,10,0.41,0.27,0.36,1396595000,1503325000,2899920000,453530000,501370000,954900000,0.32,0.33,0.33,4229.91,50.07
Azerbaijan,World Bank,16,5,21,2,3,5,0.13,0.60,0.24,,,0,,,0,,,,4229.91,50.07
Azerbaijan,Total,33,16,49,9,6,15,0.27,0.38,0.31,1396595000,1503325000,2899920000,453530000,501370000,954900000,0.32,0.33,0.33,4229.91,50.07
Bangladesh,ADB,48,57,105,22,21,43,0.46,0.37,0.41,2494140000,4541200000,7035340000,899970000,1140580000,2040550000,0.36,0.25,0.29,2233.31,36.88
Bangladesh,World Bank,45,71,116,9,50,59,0.20,0.70,0.51,11058948766,47758709960,58817658726,1783610000,41257020960,43040630960,0.16,0.86,0.73,2233.31,36.88
Bangladesh,Total,93,128,221,31,71,102,0.33,0.55,0.46,13553088766,52299909960,65852998726,2683580000,42397600960,45081180960,0.20,0.81,0.68,2233.31,36.88
Bhutan,ADB,14,25,39,7,9,16,0.50,0.36,0.41,109045000,229680000,338725000,50330000,60485000,110815000,0.46,0.26,0.33,3009.92,47.85
Bhutan,World Bank,9,24,33,3,12,15,0.33,0.50,0.45,109905500,444972879,554878379,12800000,269184879,281984879,0.12,0.60,0.51,3009.92,47.85
Bhutan,Total,23,49,72,10,21,31,0.43,0.43,0.43,218950500,674652879,893603379,63130000,329669879,392799879,0.29,0.49,0.44,3009.92,47.85
Cambodia,ADB,34,25,59,14,6,20,0.41,0.24,0.34,288750000,624825000,913575000,97835000,52950000,150785000,0.34,0.08,0.17,1577.91,38.73
Cambodia,World Bank,13,30,43,1,16,17,0.08,0.53,0.40,392555025,1920882824,2313437849,40000000,1719176794,1759176794,0.10,0.89,0.76,1577.91,38.73
Cambodia,Total,47,55,102,15,22,37,0.32,0.40,0.36,681305025,2545707824,3227012849,137835000,1772126794,1909961794,0.20,0.70,0.59,1577.91,38.73
Cook Islands,ADB,3,4,7,2,2,4,0.67,0.50,0.57,6705000,84060000,90765000,6205000,47840000,54045000,0.93,0.57,0.60,No updated data,No updated data
Cook Islands,World Bank,,,0,,,0,,,,,,0,,,0,,,,No updated data,No updated data
Cook Islands,Total,3,4,7,2,2,4,0.67,0.50,0.57,6705000,84060000,90765000,6205000,47840000,54045000,0.93,0.57,0.60,No updated data,No updated data
Federated States of Micronesia,ADB,5,5,10,2,4,6,0.40,0.80,0.60,6130000,32250000,38380000,5180000,18250000,23430000,0.85,0.57,0.61,3639.41,38.46
Federated States of Micronesia,World Bank,3,10,13,1,7,8,0.33,0.70,0.62,,,0,,,0,,,,3639.41,38.46
Federated States of Micronesia,Total,8,15,23,3,11,14,0.38,0.73,0.61,6130000,32250000,38380000,5180000,18250000,23430000,0.85,0.57,0.61,3639.41,38.46
