Country,Region,Project Name,Project Description,Status,Project URL,Effective Date,Commitment Amount,Pre/Post Paris Agreement,Year
Afghanistan,Central and West Asia,Citizens' Charter Afghanistan Project,"The Project Development Objective for the Citizensâ Charter Afghanistan Project is to improve the delivery of core infrastructure,  emergency support, and social services to participating communities through strengthened Community Development Councils (CDCs).",Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P160567,2016-10-27,717230500.0,0,2016
Afghanistan,Central and West Asia,Education Emergency Response in Afghanistan (EERA),The Project Development Objective (PDO) is to support access to learning opportunities for girls and boys and improve learning condi tions in project-supported schools,Active,https://projects.worldbank.org/en/projects-operations/project-detail/P178758,2022-09-08,100000000.0,1,2022
Afghanistan,Central and West Asia,Afghanistan NGO/CSO Capacity Support Project,The Project Development Objective (PDO) is to enhance the capacities of select registered national and local Non-Governmental Organi zations (NGOs) and Civil Society Organizations (CSOs) to improve their performance and effectiveness.,Active,https://projects.worldbank.org/en/projects-operations/project-detail/P178933,2022-06-28,20000000.0,1,2022
Afghanistan,Central and West Asia,Emergency Food Security Project,To restore production of food security crops for the targeted smallholder farmers.,Active,https://projects.worldbank.org/en/projects-operations/project-detail/P178280,2022-06-02,195000000.0,1,2022
Afghanistan,Central and West Asia,AFGHANISTAN HEALTH EMERGENCY RESPONSE (HER) PROJECT,The Project Development Objective (PDO) is to increase the utilization and quality of essential health services in Afghanistan.,Active,https://projects.worldbank.org/en/projects-operations/project-detail/P178775,2022-05-24,333000000.0,1,2022
Afghanistan,Central and West Asia,Afghanistan Community Resilience and Livelihoods Project,The objective of the Project is to provide short-term livelihood opportunities and deliver urgent essential services in rural and ur ban areas.,Active,https://projects.worldbank.org/en/projects-operations/project-detail/P178760,2022-04-29,265000000.0,1,2022
Afghanistan,Central and West Asia,EQRA Additional Financing,"The Project Development Objectives (PDO) are “to increase equitable access to primary and secondary education, particularly for girl s, in selected lagging provinces, and to improve learning conditions in Afghanistan”.",Active,https://projects.worldbank.org/en/projects-operations/project-detail/P173314,2021-03-29,25000000.0,1,2021
Afghanistan,Central and West Asia,Additional Financing for Afghanistan COVID-19 Emergency Response and Health Systems Preparedness Project,"The project development objective is to respond to, and mitigate the threat posed by COVID-19 and strengthen national systems for pu blic health preparedness in Afghanistan.",Active,https://projects.worldbank.org/en/projects-operations/project-detail/P176012,2021-03-18,113000000.0,1,2021
Afghanistan,Central and West Asia,"Early Warning, Early Finance and Early Action Project",To increase the food and nutrition security of the most vulnerable households living in drought prone rural areas and to build syste ms for early warning and response with pre-arranged financing.,Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P173387,2021-02-16,222500000.0,1,2021
Afghanistan,Central and West Asia,"Afghanistan Water, Sanitation, Hygiene and Institutional Support Project",The Project Development Objective (PDO) is to improve access to and quality of water supply in selected cities and to strengthen the  capacity of AUWSSC to deliver sustainable services in order to contribute to national efforts to manage COVID-19 and other disaster s.,Active,https://projects.worldbank.org/en/projects-operations/project-detail/P169970,2020-12-11,200000000.0,1,2020
Afghanistan,Central and West Asia,Second Additional Financing for Citizens' Charter Afghanistan Project,"The Project Development Objective for the Citizensâ Charter Afghanistan Project is to improve the delivery of core infrastructure,  emergency support, and social services to participating communities through strengthened Community Development Councils (CDCs).",Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P173213,2020-12-11,193000000.0,1,2020
Afghanistan,Central and West Asia,Emergency Agriculture and Food Supply Project,"In response to Covid-19 emergency, the proposed project development objective is to support critical food supply chains and create s hort-term economic opportunities.",Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P174348,2020-08-04,100000000.0,1,2020
Afghanistan,Central and West Asia,Afghanistan COVID-19 Response Development Policy Grant,The development objectives and pillars of the operation are: i) strengthening the policy framework to support relief and recovery fo r vulnerable people and firms; and ii) strengthening the policy framework for recovery and resilience in infrastructure provision.,Closed,https://projects.worldbank.org/en/projects-operations/project-detail/P174234,2020-07-09,200000000.0,1,2020
