Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Adaptation Finance ($ million),Mitigation Finance ($ million),Type of Financing,Currency,Project URL
30-Sep-2021,51012-003,Skills Development for a Modern Economy Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWSS,Sovereign,162.000,Project loan,Loan,4041,ADB funds,Concessional OCR,93.000,Education,Education,Mitigation,Low,,2.223,Investment,USD,https://www.adb.org/projects/51012-003/main
6-Aug-2021,48025-004,Central Asia Regional Economic Cooperation Corridor 2 (Pap-Namangan-Andijan) Railway Electrification Project – Additional Financing,UZB,Uzbekistan,Central and West Asia,CWRD,CWTC,Sovereign,164.000,Project loan,Loan,4000,ADB funds,OCR,121.000,Transport,Transport,Dual-use,Medium,1.100,119.900,Investment,USD,https://www.adb.org/projects/48025-004/main
12-Mar-2021,51401-002,Shaanxi Green Intelligent Transport and Logistics Management Demonstration Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,804.080,Project loan,Loan,4035,ADB funds,OCR,200.000,Transport,Transport,Dual-use,Medium,14.060,119.600,Investment,USD,https://www.adb.org/projects/51401-002/main
3-Feb-2021,53052-001,Hunan Miluo River Disaster Risk Management and Comprehensive Environment Improvement Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,353.560,Project loan,Loan,4020,ADB funds,OCR,153.984,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,7.640,1.300,Investment,USD,https://www.adb.org/projects/53052-001/main
18-Mar-2021,51033-001,Air Quality Improvement in the Greater Beijing–Tianjin–Hebei Region—Green Financing Scale up Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,650.780,Development financing institution,Loan,4023,ADB funds,OCR,151.511,Energy,Energy,Mitigation,Medium,,135.000,Investment,USD,https://www.adb.org/projects/51033-001/main
18-Mar-2021,51033-001,Air Quality Improvement in the Greater Beijing–Tianjin–Hebei Region—Green Financing Scale up Project,PRC,People's Republic of China,East Asia,EARD,EASI,Sovereign,,Development financing institution,Loan,4023,ADB funds,OCR,,Energy,Finance,Mitigation,Medium,,15.000,Investment,USD,https://www.adb.org/projects/51033-001/main
12-Jan-2021,53045-003,Nuku'alofa Port Upgrade Project,TON,Tonga,Pacific,PARD,PATC,Sovereign,50.000,Project grant,Grant,0774,ADB funds,ADF,45.000,Transport,Transport,Dual-use,High,15.100,6.100,Investment,USD,https://www.adb.org/projects/53045-003/main
13-Jan-2021,48484-005,Outer Island Maritime Infrastructure Project (Second Additional Financing),TUV,Tuvalu,Pacific,PARD,PATC,Sovereign,22.200,Project grant,Grant,0775,ADB funds,ADF,20.000,Transport,Transport,Adaptation,High,3.100,,Investment,USD,https://www.adb.org/projects/48484-005/main
19-Aug-2021,53326-001,Bengaluru Metro Rail Project,IND,India,South Asia,SARD,SATC,Sovereign,"1,847.000",Project loan,Loan,4036,ADB funds,OCR,500.000,Transport,Transport,Dual-use,Medium,1.470,498.530,Investment,USD,https://www.adb.org/projects/53326-001/main
8-Jun-2021,53192-003,Bengaluru Smart Energy Efficient Power Distribution Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,90.000,Loan,Loan,4024,ADB funds,OCR,90.369,Energy,Energy,Dual-use,Low,3.500,20.200,Investment,USD,https://www.adb.org/projects/51077-003/main
10-Dec-2021,53118-001,Livable Cities Investment Project for Balanced Development,GEO,Georgia,Central and West Asia,CWRD,CWUW,Sovereign,180.500,Sector loan,Loan,4134,ADB funds,OCR,113.797,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,11.040,7.400,Investment,USD,https://www.adb.org/projects/53118-001/main
10-Dec-2021,53118-001,Livable Cities Investment Project for Balanced Development,GEO,Georgia,Central and West Asia,CWRD,CWUW,Sovereign,,Sector loan,Loan,4134,ADB funds,OCR,,Water and other urban infrastructure and services,Transport,Dual-use,Medium,0.960,1.300,Investment,USD,https://www.adb.org/projects/53118-001/main
