Country,Region,Project Name,Project Description,Status,Project URL,Effective Date,Commitment Amount,Pre/Post Paris Agreement,Year,Sector,Climate-Related
Regional,Regional,Creating Knowledge Solutions for the Pacific,"The knowledge and support technical assistance will deliver a range of knowledge solutions for the 14 Pacific developing member countries of the Asian Development Bank. TA resources will specifically help implement ADB's Pacific Knowledge Plan, described in the Pacific Approach 2021-2025, and will focus on developing knowledge and capacity for a more resilient Pacific. The TA will finance workshops to deepen regional knowledge sharing, capacity development for target sectors and institutions, and knowledge products on key development issues. The TA will facilitate more inclusive and sustainable development in the Pacific DMCs and will increase operational efficiency and the relevance of development partner support in the region. Through it, ADB will provide more timely and tailored knowledge solutions, focusing on high-quality policy advice, capacity development, programs, and technical studies. The TA will identify and address specific knowledge gaps in the Pacific DMCs, support deeper regional collaboration and knowledge sharing, and develop capacity across the public and private sectors.",Active,http://www.adb.org/projects/56255-001/main,28 Dec 2022,1000000.0,1,2022,Public sector management,No
Philippines,South East Asia,Strengthening Infrastructure Capacity and Innovation for Inclusive Growth–Phase 2,"The proposed Technical Assistance (TA) will support the implementation of the Infrastructure Preparation and Innovation Facility (IPIF) and its additional financing IPIF is a $100 million technical assistance loan that invests in project preparation and development in two critical infrastructure agencies, namely, the Department of Public Works and Highways (DPWH) and the Department of Transportation (DOTr).",Active,http://www.adb.org/projects/50288-005/main,28 Dec 2022,1000000.0,1,2022,"Agriculture, natural resources and rural development",No
Uzbekistan,Central and West Asia,Supporting the Improving the Governance Environment for Public-Private Partnerships for Quality Infrastructure and Services,"With the support of ADB's Improving the Governance Environment for Public-Private Partnerships for Quality Infrastructure and Services Program, a policy-based loan (PBL) of $150 million, the Government of Uzbekistan is strategically utilizing the private sector to modernize, expand, and improve aging public infrastructure and achieve its objectives of increasing the availability, efficiency, and sustainability of public services. The public-private partnership (PPP) governance environment will be improved by developing a clear and predictable institutional and regulatory framework, a whole of government approach to low-carbon and climate-resilient infrastructure investment planning, and a transparent budgetary process that minimizes fiscal risks and ensures the integrity of the procurement process. This will ensure that private sector involvement in public infrastructure and services is obtained with the greatest benefit to the public sector (i.e., value for money), strengthens institutional governance and capacity, and supports effective private sector development.",Active,http://www.adb.org/projects/56034-002/main,28 Dec 2022,225000.0,1,2022,Public sector management,Yes
Regional,Regional,"Subproject 13: Supporting Implementation of Strategy 2030 OP 2 in a Post-COVID- 19 Environment-Gender Mainstreaming in Project Preparation, Supporting Monitoring, and Reporting on Gender Equality Results in CWA Operations","Subproject 13 will facilitate gender mainstreaming in projects in Central and West Asia to help address the negative economic and social impacts of the Russian invasion of Ukraine and coronavirus disease (COVID-19) pandemic. Gender design features aligned with Operational Plan 2 will be integrated across all sectors with special attention to the challenging sectors for gender mainstreaming and in modalities such as policy-based loans and sector development programs. It will also explore opportunities to include actions relevant to areas of the SDG 5 transformative agenda. To help specific projects in these sectors achieve EGM categorization, it will support the development of gender-related transaction technical assistance subprojects to supplement the gender design features identified in projects in these sectors. It will continue to provide technical guidance to EAs and/or IAs in the implementation of GAPs, collection, and review of semi-annual GAP updates, and reporting on gender equality results at project completion.",Active,http://www.adb.org/projects/54111-012/main,28 Dec 2022,675000.0,1,2022,Public sector management,Yes
Kazakhstan,Central and West Asia,Opportunities to Accelerate Coal to Clean Power Transition in Kazakhstan,,Active,http://www.adb.org/projects/56314-001/main,28 Dec 2022,225000.0,1,2022,Energy,Yes
Uzbekistan,Central and West Asia,Microfinance Sector Development Program,"The SS-KSTA will provide important knowledge input and background diagnostics for the conceptualization of a Microfinance Sector Development Program and input for a project concept paper. ADB will aim to assist and advise on the further development of a market-based microfinance sector, by supporting the improvement of access to finance through both the commercial banking and the MFO sector. This is expected to support the development of the private sector as well as commercialize the SOBs to finance MSE on a sustainable basis and by doing so deepen and broaden financial intermediation and reach out to microentrepreneurs including women and rural. The TA will look for ways to increase access to finance by i) identifying further reforms across both the banking and microfinance sector the market to enable greater access to finance, (ii) identify capacity building requirements for the market to both downscale the banks to do more with MSE as well as upgrading the capacity of corporate governance for MFOs and (iii) develop a business plan to establish an apex body to support sustainable funding models for the microfinance sector.",Active,http://www.adb.org/projects/56363-001/main,27 Dec 2022,225000.0,1,2022,Public sector management,No
Thailand,South East Asia,Strengthening the Bio-Circular-Green Economy,,Active,http://www.adb.org/projects/56159-001/main,29 Dec 2022,500000.0,1,2022,Finance,Yes
Georgia,Central and West Asia,Silk Road Forum,"This TA is proposed to support the government of Georgia to organize and hold a Silk Road forum planned for the third quarter of 2023 in Tbilisi, Georgia. The forum's goal is to: (i) discuss ways to enhance regional cooperation through cross-border transport and energy connectivity, trade facilitation and commerce along the Silk Road; (ii) help coordinate transport infrastructure investments and policy interventions aimed at achieving the uninterrupted flow of goods through Silk Road corridors; and (iii) stimulate regional trade and commerce by identifying investment opportunities and facilitating business-to-business meetings and public-private dialogue.The forum will be opened by the Prime Minister of Georgia and it is expected to attract at least 800 high-level government officials, private sector stakeholders, representatives of development partner institutions, business associations, and other relevant organizations from ADB member countries. The forum will consist of several moderated sector panels attended by high profile guest speakers and business-to-business meetings. During the forum, information on investment opportunities in Georgia will be disseminated through thematic panels and country information materials to be distributed to the participants.",Active,http://www.adb.org/projects/56308-001/main,26 Dec 2022,225000.0,1,2022,Transport,No
Philippines,South East Asia,Sustainable Transport Development Diagnostic in Bataan Province,"The proposed TA will help the government of Bataan Province to plan, design, and maintain modern, sustainable, and climate and disaster resilient transport infrastructure and facilities; provide responsive, reliable, and efficient transport services; and establish, develop, regulate, manage, and operate a rationalized regional transport system in support of enhanced competitiveness, disaster resilience, and living conditions in the region.",Active,http://www.adb.org/projects/52310-005/main,24 Dec 2022,225000.0,1,2022,Transport,Yes
Tajikistan,Central and West Asia,Preparing and Implementing Gender-Inclusive Projects in Central and West Asia - Preparing Resilient Livelihoods and Empowerment of Rural Women Project (Subproject 14),"The TA subproject will support the preparation of the project through the conduct of feasibility studies and due diligence reports for the proposed interventions. It will identify targeted support for women in terms of their needs for agricultural inputs and production technologies, processing and value addition tools and equipment, financing, capacity building, and access to support services to address gender-based violence. It will also identify areas for capacity building support on gender mainstreaming, technical, procurement, financial management, and other capacity building needs relevant to the project",Active,http://www.adb.org/projects/54111-010/main,23 Dec 2022,500000.0,1,2022,"Agriculture, natural resources and rural development",Yes
